degree;year;institution;where;description
Student assistant job - Mathematics for Biologists;2013-15;Bielefeld University;Bielefeld, Germany;
Student assistant job - Statistics/Informatics for Biologists;2013-15;Bielefeld University;Bielefeld, Germany;
